Removed Pin From Net: NetName=SDO_W_U_Power_Control1 Pin=-18
Removed Pin From Net: NetName=12V_W_U_Power_Control1 Pin=5MOhm-2
Removed Pin From Net: NetName=GND Pin=7MOhm-1
Removed Pin From Net: NetName=12V_W_U_Power_Control1 Pin=10uF-2
Removed Pin From Net: NetName=OVCC_B32 Pin=DB BOTTOM-1
Removed Pin From Net: NetName=OVCC_B33 Pin=DB BOTTOM-2
Removed Pin From Net: NetName=OVCC_B34 Pin=DB BOTTOM-3
Removed Pin From Net: NetName=OVCC_B35 Pin=DB BOTTOM-4
Removed Pin From Net: NetName=OVCC_B36 Pin=DB BOTTOM-5
Removed Pin From Net: NetName=OVCC_B37 Pin=DB BOTTOM-6
Removed Pin From Net: NetName=OVCC_B38 Pin=DB BOTTOM-7
Removed Pin From Net: NetName=OVCC_B39 Pin=DB BOTTOM-8
Removed Pin From Net: NetName=OVCC_B40 Pin=DB BOTTOM-9
Removed Pin From Net: NetName=OVCC_B41 Pin=DB BOTTOM-10
Removed Pin From Net: NetName=OVCC_B42 Pin=DB BOTTOM-11
Removed Pin From Net: NetName=OVCC_B43 Pin=DB BOTTOM-12
Removed Pin From Net: NetName=OVCC_B44 Pin=DB BOTTOM-13
Removed Pin From Net: NetName=OVCC_B45 Pin=DB BOTTOM-14
Removed Pin From Net: NetName=OVCC_B46 Pin=DB BOTTOM-15
Removed Pin From Net: NetName=OVCC_B47 Pin=DB BOTTOM-16
Removed Pin From Net: NetName=FPGA_~CS4 Pin=DB BOTTOM-17
Removed Pin From Net: NetName=FPGA_~WE4 Pin=DB BOTTOM-18
Removed Pin From Net: NetName=FPGA_~MR Pin=DB BOTTOM-19
Removed Pin From Net: NetName=FPGA_Q Pin=DB BOTTOM-20
Removed Pin From Net: NetName=FPGA_~PL Pin=DB BOTTOM-21
Removed Pin From Net: NetName=FPGA_SHCP Pin=DB BOTTOM-22
Removed Pin From Net: NetName=FPGA_STCP Pin=DB BOTTOM-23
Removed Pin From Net: NetName=COUNTER_CLK1 Pin=DB BOTTOM-24
Removed Pin From Net: NetName=OVCC_B48 Pin=DB BOTTOM-25
Removed Pin From Net: NetName=OVCC_B49 Pin=DB BOTTOM-26
Removed Pin From Net: NetName=OVCC_B50 Pin=DB BOTTOM-27
Removed Pin From Net: NetName=OVCC_B51 Pin=DB BOTTOM-28
Removed Pin From Net: NetName=OVCC_B52 Pin=DB BOTTOM-29
Removed Pin From Net: NetName=OVCC_B53 Pin=DB BOTTOM-30
Removed Pin From Net: NetName=OVCC_B54 Pin=DB BOTTOM-31
Removed Pin From Net: NetName=OVCC_B55 Pin=DB BOTTOM-32
Removed Pin From Net: NetName=OVCC_B56 Pin=DB BOTTOM-33
Removed Pin From Net: NetName=OVCC_B57 Pin=DB BOTTOM-34
Removed Pin From Net: NetName=OVCC_B58 Pin=DB BOTTOM-35
Removed Pin From Net: NetName=OVCC_B59 Pin=DB BOTTOM-36
Removed Pin From Net: NetName=OVCC_B60 Pin=DB BOTTOM-37
Removed Pin From Net: NetName=OVCC_B61 Pin=DB BOTTOM-38
Removed Pin From Net: NetName=OVCC_B62 Pin=DB BOTTOM-39
Removed Pin From Net: NetName=OVCC_B63 Pin=DB BOTTOM-40
Removed Pin From Net: NetName=OVCC_B64 Pin=DB LEFT-1
Removed Pin From Net: NetName=OVCC_B65 Pin=DB LEFT-2
Removed Pin From Net: NetName=OVCC_B66 Pin=DB LEFT-3
Removed Pin From Net: NetName=OVCC_B67 Pin=DB LEFT-4
Removed Pin From Net: NetName=OVCC_B68 Pin=DB LEFT-5
Removed Pin From Net: NetName=OVCC_B69 Pin=DB LEFT-6
Removed Pin From Net: NetName=OVCC_B70 Pin=DB LEFT-7
Removed Pin From Net: NetName=OVCC_B71 Pin=DB LEFT-8
Removed Pin From Net: NetName=OVCC_B72 Pin=DB LEFT-9
Removed Pin From Net: NetName=OVCC_B73 Pin=DB LEFT-10
Removed Pin From Net: NetName=OVCC_B74 Pin=DB LEFT-11
Removed Pin From Net: NetName=OVCC_B75 Pin=DB LEFT-12
Removed Pin From Net: NetName=OVCC_B76 Pin=DB LEFT-13
Removed Pin From Net: NetName=OVCC_B77 Pin=DB LEFT-14
Removed Pin From Net: NetName=OVCC_B78 Pin=DB LEFT-15
Removed Pin From Net: NetName=OVCC_B79 Pin=DB LEFT-16
Removed Pin From Net: NetName=FPGA_~CS2 Pin=DB LEFT-17
Removed Pin From Net: NetName=FPGA_~WE2 Pin=DB LEFT-18
Removed Pin From Net: NetName=GND Pin=DB LEFT-20
Removed Pin From Net: NetName=GND Pin=DB LEFT-21
Removed Pin From Net: NetName=GND Pin=DB LEFT-22
Removed Pin From Net: NetName=GLOBAL_HIGH_POWER Pin=DB LEFT-23
Removed Pin From Net: NetName=COUNTER_CLK2 Pin=DB LEFT-24
Removed Pin From Net: NetName=OVCC_B80 Pin=DB LEFT-25
Removed Pin From Net: NetName=OVCC_B81 Pin=DB LEFT-26
Removed Pin From Net: NetName=OVCC_B82 Pin=DB LEFT-27
Removed Pin From Net: NetName=OVCC_B83 Pin=DB LEFT-28
Removed Pin From Net: NetName=OVCC_B84 Pin=DB LEFT-29
Removed Pin From Net: NetName=OVCC_B85 Pin=DB LEFT-30
Removed Pin From Net: NetName=OVCC_B86 Pin=DB LEFT-31
Removed Pin From Net: NetName=OVCC_B87 Pin=DB LEFT-32
Removed Pin From Net: NetName=OVCC_B88 Pin=DB LEFT-33
Removed Pin From Net: NetName=OVCC_B89 Pin=DB LEFT-34
Removed Pin From Net: NetName=OVCC_B90 Pin=DB LEFT-35
Removed Pin From Net: NetName=OVCC_B91 Pin=DB LEFT-36
Removed Pin From Net: NetName=OVCC_B92 Pin=DB LEFT-37
Removed Pin From Net: NetName=OVCC_B93 Pin=DB LEFT-38
Removed Pin From Net: NetName=OVCC_B94 Pin=DB LEFT-39
Removed Pin From Net: NetName=OVCC_B95 Pin=DB LEFT-40
Removed Pin From Net: NetName=OVCC_B96 Pin=DB RIGHT-1
Removed Pin From Net: NetName=OVCC_B97 Pin=DB RIGHT-2
Removed Pin From Net: NetName=OVCC_B98 Pin=DB RIGHT-3
Removed Pin From Net: NetName=OVCC_B99 Pin=DB RIGHT-4
Removed Pin From Net: NetName=OVCC_B100 Pin=DB RIGHT-5
Removed Pin From Net: NetName=OVCC_B101 Pin=DB RIGHT-6
Removed Pin From Net: NetName=OVCC_B102 Pin=DB RIGHT-7
Removed Pin From Net: NetName=OVCC_B103 Pin=DB RIGHT-8
Removed Pin From Net: NetName=OVCC_B104 Pin=DB RIGHT-9
Removed Pin From Net: NetName=OVCC_B105 Pin=DB RIGHT-10
Removed Pin From Net: NetName=OVCC_B106 Pin=DB RIGHT-11
Removed Pin From Net: NetName=OVCC_B107 Pin=DB RIGHT-12
Removed Pin From Net: NetName=OVCC_B108 Pin=DB RIGHT-13
Removed Pin From Net: NetName=OVCC_B109 Pin=DB RIGHT-14
Removed Pin From Net: NetName=OVCC_B110 Pin=DB RIGHT-15
Removed Pin From Net: NetName=OVCC_B111 Pin=DB RIGHT-16
Removed Pin From Net: NetName=FPGA_~CS3 Pin=DB RIGHT-17
Removed Pin From Net: NetName=FPGA_~WE3 Pin=DB RIGHT-18
Removed Pin From Net: NetName=GND Pin=DB RIGHT-19
Removed Pin From Net: NetName=GND Pin=DB RIGHT-20
Removed Pin From Net: NetName=GND Pin=DB RIGHT-21
Removed Pin From Net: NetName=GND Pin=DB RIGHT-22
Removed Pin From Net: NetName=GND Pin=DB RIGHT-23
Removed Pin From Net: NetName=COUNTER_CLK3 Pin=DB RIGHT-24
Removed Pin From Net: NetName=OVCC_B112 Pin=DB RIGHT-25
Removed Pin From Net: NetName=OVCC_B113 Pin=DB RIGHT-26
Removed Pin From Net: NetName=OVCC_B114 Pin=DB RIGHT-27
Removed Pin From Net: NetName=OVCC_B115 Pin=DB RIGHT-28
Removed Pin From Net: NetName=OVCC_B116 Pin=DB RIGHT-29
Removed Pin From Net: NetName=OVCC_B117 Pin=DB RIGHT-30
